year,country,health_expenses,education,gdp_per_capita,gini_index,greenhousepc,pop_density,precipitation,productivity_per_hour,remuneration_per_capita,unemployment,inflation,div_per_100_marriges_,0-14,15-24,25-49,50-64,65-79,80-more,Per capita CO₂ emissions (Global Carbon Project; Gapminder; UN) (tonnes per capita),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
2000,United Kingdom,0.0,27.4,23005.5,32.0,12.1,236.5,338990,29.0,11365.5,5.6,0.8,50.5,11199610,7157286,21055058,10164102,6951115,2365343,9.509,5.00926349872,1.7403169014,4.722762529090001,5.472613201310001,5.76261052041,3.80006973418,5.45322275348,5.547182283310001,4.2405161196,5.47805591318
2001,Austria,0.0,21.0,25792.6,24.0,10.5,0.0,0,30.7,12349.6,4.0,2.3,60.2,1352476,958935,3067146,1420120,948661,294957,8.701,4.07734719694,1.3715897730700002,3.95867215602,4.82508340151,4.43371838105,3.01470303929,4.26608854871,4.61877555994,3.4488051468900003,4.37366289052
2001,Belgium,0.0,26.3,25135.8,28.0,14.4,336.2,34094,39.1,12829.9,6.2,2.4,69.6,1805168,1244432,3746576,1752331,1352748,385316,12.196,4.474154341419999,1.7880355068400002,4.29104336688,4.8310697446,4.8465102387400005,3.4742671388999997,4.64339144091,4.9700814843300005,3.82088309145,4.80541966785
2001,Bulgaria,0.0,19.0,5996.9,26.0,7.8,73.4,0,9.0,2154.4,19.9,7.4,32.1,1219833,1130260,2800349,1524577,1140007,194118,6.1610000000000005,2.8177214061400004,0.935046054297,3.4409523088500005,6.25023149107,2.89413008908,2.2070410855200002,2.8586424681000002,4.72811640832,2.7096939226,2.96441297062
2001,Croatia,0.0,0.0,10126.3,0.0,6.3,0.0,62517,14.6,4864.6,0.0,4.3,21.2,719675,564510,1526825,788402,598280,102642,4.75,3.20184250357,1.0416084409500002,3.61029411485,6.59376682842,3.16784645074,2.47530409221,3.18051466357,5.07443882794,2.96765948363,3.26657818746
2001,Cyprus,0.0,22.4,19852.4,0.0,11.7,75.4,3213,22.2,7800.4,4.0,2.0,11.3,153654,109722,249268,108419,62290,18193,7.257999999999999,3.8383420965199995,1.77669206042,3.5792138489699994,4.4851044163800005,4.24143999524,3.26897147763,4.0527850731,4.4633609091,3.32312596024,4.0936390549000015
2001,Czech Republic,0.0,21.7,15237.3,25.0,14.6,129.7,63960,17.7,5864.2,8.0,4.5,60.3,1641070,1508975,3707211,1946826,1160847,251676,12.218,2.9873470788,0.982288993111,3.40608408575,5.9261436623699995,3.03286983835,2.32282270752,2.98518692375,4.6492615758800016,2.81363941513,3.15722410671
2001,Denmark,0.0,23.9,25562.3,22.0,13.4,124.1,32000,33.5,12988.8,4.2,2.3,39.9,999786,601907,1941858,1021969,578156,215108,10.543,3.8111642908,1.39734833403,3.95875274876,4.72047924548,4.48160175401,2.87989752684,4.1544241491500005,4.82110965872,3.4794634174500003,4.42975451839
2001,Estonia,0.0,25.8,8942.8,35.0,12.8,31.9,34665,10.7,3982.8,13.1,5.6,76.4,238095,199915,489850,248085,175095,37075,11.288,4.163165480880001,1.4544900307600002,5.45075836831,10.2397722953,4.63914049009,3.34216503397,4.41446671102,7.93240831592,4.45537972358,4.71182283384
2001,Finland,7.0,25.2,24104.8,27.0,14.5,15.3,217000,31.1,11209.9,10.3,2.7,54.6,933960,656914,1806939,1007912,602062,180223,12.022,6.9738735837600005,2.09096583537,5.89614048161,6.06582796995,7.08001361274,4.8570901628,6.966741923169999,6.75926597972,5.29870102143,6.955282077850001
2001,France,0.0,23.4,23931.9,27.0,9.1,96.4,542698,36.7,12220.0,8.6,1.8,39,11640018,7947375,21764172,10069304,7403971,2376837,6.936,5.07421773701,1.98942181163,4.82504580187,5.1561221721,5.61644705569,3.90736375018,5.299727087819999,5.537393514430001,4.39321256217,5.5520479573
2001,Germany,9.9,20.5,24716.9,25.0,12.9,230.4,327000,35.5,12900.5,7.8,1.9,50.7,12698043,9325717,30888768,15557530,10714138,3165731,11.23,4.39575133176,1.88058748913,4.3859292189599985,5.24461540159,4.75986660281,3.51138959818,4.5840023502900005,4.96764922794,3.8101942745099997,4.72507680286
